Industry,Company_Size,Tech_Stack,Hiring_Budget,Role,Seniority_Level,Skills_Required,Years_Experience,Project_Type,Project_Timeline,Expected_Deliverables,Current_Team,Collaboration_Model,Diversity_Goals,Number_of_Hires,Hiring_Method
Retail,Medium,"R,Python,Azure ML",172943,Computer Vision Engineer,Mid-level,"Python,PyTorch,Deep Learning",4,NLP,12 months,Object detection model,"2 Data Scientists, 1 MLOps Engineer",Siloed,Ensure diverse academic backgrounds,3,Full-time
Technology,Small,"Python,Spark,AWS Glue",152261,Machine Learning Engineer,Senior,"Python,Pandas,SQL",2,Computer Vision,6 months,Research papers,2 ML Engineers,Cross-functional,At least 1 woman per role,3,Remote
Retail,Small,"Python,XGBoost,MySQL",259186,Data Scientist,Junior,"Python,Keras,NLP",1,Predictive Analytics,3 months,Sentiment classifier,2 ML Engineers,Siloed,At least 1 woman per role,3,Contract
Healthcare,Large,"Python,Spark,AWS Glue",126712,Data Engineer,Senior,"Python,XGBoost,MySQL",1,Predictive Analytics,3 months,Forecast models,2 Developers,Siloed,50% gender parity,2,Full-time
Manufacturing,Large,"Python,Scikit-learn,Azure",103316,Computer Vision Engineer,Mid-level,"Python,PyTorch,Deep Learning",4,Forecasting,12 months,Interactive dashboards,1 Analyst,Siloed,Ensure diverse academic backgrounds,3,"Full-time, Remote"
EdTech,Large,"Python,OpenCV,PyTorch",226745,ML Researcher,Mid-level,"Python,XGBoost,MySQL",3,Forecasting,4 months,Research papers,1 ML Engineer,Siloed,Ensure diverse academic backgrounds,2,"Full-time, Remote"
Gaming,Medium,"Python,TensorFlow,AWS",229579,ML Engineer,Junior,"Python,Tableau,SQL",2,Forecasting,5 months,Forecast models,1 ML Engineer,Siloed,Include fresh grads,1,"Full-time, Remote"
E-commerce,Small,"Python,Spark,AWS Glue",288763,Computer Vision Engineer,Mid-level,"Python,OpenCV,PyTorch",2,Fraud Detection,6 months,Interactive dashboards,1 BI Engineer,Cross-functional,At least 30% female candidates,2,Contract
Gaming,Large,"Python,Spark,AWS Glue",180270,ML Engineer,Mid-level,"Python,OpenCV,PyTorch",5,Forecasting,6 months,Object detection model,"1 Data Scientist, 1 PM",Siloed,50% gender parity,2,Remote
EdTech,Medium,"Python,Spark,AWS Glue",131629,Data Analyst,Mid-level,"Python,PyTorch,Deep Learning",6,Predictive Analytics,12 months,Dashboards and reports,2 Data Engineers,Cross-functional,50% gender parity,2,Remote
Manufacturing,Large,"Python,Keras,NLP",126352,Data Analyst,Mid-level,"Python,Spark,AWS Glue",3,Computer Vision,5 months,Deployable chatbot,2 Developers,Cross-functional,None,1,Full-time
Manufacturing,Medium,"Python,FastAPI,SQL",267213,ML Researcher,Junior,"Python,Scikit-learn,NLP",5,Forecasting,6 months,Interactive dashboards,1 BI Engineer,Siloed,Ensure diverse academic backgrounds,1,Remote
Logistics,Small,"Python,PyTorch,GCP",205043,ML Researcher,Junior,"Python,XGBoost,MySQL",6,Fraud Detection,3 months,Dashboards and reports,1 Analyst,Siloed,At least 30% female candidates,1,Full-time
Manufacturing,Medium,"Python,XGBoost,MySQL",256271,Data Analyst,Senior,"R,Python,Bioinformatics",4,Recommendation System,5 months,Demand forecasting system,4 Researchers,Siloed,Include fresh grads,3,Full-time
Healthcare,Small,"Python,Spark,AWS Glue",169375,Data Scientist,Junior,"Python,Spark,AWS Glue",2,Predictive Analytics,3 months,Dashboards and reports,"2 Data Scientists, 1 MLOps Engineer",Siloed,At least 1 woman per role,3,"Full-time, Remote"
Logistics,Medium,"Python,TensorFlow,AWS",160680,Data Engineer,Senior,"Python,Keras,NLP",6,Recommendation System,3 months,ETL pipelines,1 ML Engineer,Cross-functional,At least 1 woman per role,1,"Full-time, Remote"
E-commerce,Large,"Python,FastAPI,SQL",169633,AI Researcher,Junior,"Python,Scikit-learn,NLP",2,Forecasting,9 months,Demand forecasting system,1 ML Engineer,Siloed,At least 30% female candidates,2,Remote
Gaming,Medium,"Python,OpenCV,PyTorch",241552,ML Researcher,Mid-level,"Python,PyTorch,Deep Learning",5,NLP,6 months,Forecast models,2 ML Engineers,Siloed,At least 30% female candidates,1,Contract
Technology,Large,"Python,Keras,NLP",251059,Machine Learning Engineer,Junior,"Python,Tableau,SQL",5,Fraud Detection,6 months,Sentiment classifier,1 Analyst,Siloed,50% gender parity,2,Full-time
Logistics,Medium,"R,Python,Azure ML",187374,ML Engineer,Senior,"Python,PyTorch,Deep Learning",2,Forecasting,6 months,Interactive dashboards,1 ML Engineer,Siloed,At least 1 person with disability,3,Full-time
Logistics,Small,"Python,Scikit-learn,Azure",166164,ML Engineer,Junior,"R,Python,Bioinformatics",5,NLP,12 months,Object detection model,1 BI Engineer,Siloed,At least 30% female candidates,1,"Full-time, Remote"
Retail,Large,"Python,Tableau,SQL",263947,ML Researcher,Junior,"Python,Spark,AWS Glue",3,Predictive Analytics,4 months,Sentiment classifier,1 BI Engineer,Siloed,At least 30% female candidates,1,"Full-time, Remote"
E-commerce,Large,"Python,FastAPI,SQL",181461,Machine Learning Engineer,Senior,"R,Python,Bioinformatics",1,Computer Vision,3 months,Interactive dashboards,5 Data Scientists,Cross-functional,At least 1 woman per role,3,Remote
Manufacturing,Large,"Python,Keras,NLP",208918,ML Researcher,Mid-level,"Python,Spark,AWS Glue",4,Predictive Analytics,4 months,Medical ML Models,2 Data Engineers,Cross-functional,At least 1 person with disability,1,Remote
Gaming,Medium,"Python,OpenCV,PyTorch",170037,Machine Learning Engineer,Mid-level,"Python,Keras,NLP",5,Predictive Analytics,12 months,Interactive dashboards,1 Analyst,Siloed,Include fresh grads,2,Remote
Retail,Large,"Python,OpenCV,PyTorch",198883,ML Researcher,Mid-level,"Python,Spark,AWS Glue",6,Computer Vision,9 months,Medical ML Models,2 Data Engineers,Siloed,At least 30% female candidates,2,Hybrid
Gaming,Medium,"Python,FastAPI,SQL",229847,Machine Learning Engineer,Junior,"Python,OpenCV,PyTorch",5,Forecasting,3 months,Interactive dashboards,5 Data Scientists,Siloed,At least 30% female candidates,3,Contract
Gaming,Large,"Python,FastAPI,SQL",119615,ML Researcher,Mid-level,"Python,Scikit-learn,EDA",5,Fraud Detection,6 months,Research papers,"1 Data Scientist, 1 PM",Siloed,None,3,Hybrid
Manufacturing,Small,"Python,XGBoost,MySQL",117936,Data Analyst,Senior,"Python,Keras,NLP",2,Fraud Detection,3 months,Medical ML Models,5 Data Scientists,Cross-functional,At least 1 woman per role,1,Remote
Technology,Small,"Python,Scikit-learn,Azure",114711,Data Engineer,Mid-level,"Python,Scikit-learn,EDA",4,Computer Vision,4 months,Object detection model,4 Researchers,Cross-functional,Ensure diverse academic backgrounds,1,Full-time
Gaming,Large,"Python,Spark,AWS Glue",230460,AI Researcher,Junior,"Python,Tableau,SQL",6,Forecasting,6 months,Sentiment classifier,"2 Data Scientists, 1 MLOps Engineer",Siloed,None,3,"Full-time, Remote"
Finance,Small,"Python,Tableau,SQL",190587,Data Engineer,Senior,"R,Python,Bioinformatics",6,Forecasting,6 months,Sentiment classifier,2 Data Engineers,Siloed,At least 1 person with disability,2,Full-time
E-commerce,Medium,"Python,XGBoost,MySQL",194098,Data Engineer,Senior,"Python,Keras,NLP",1,Fraud Detection,6 months,Sentiment classifier,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,Include fresh grads,3,Hybrid
EdTech,Small,"Python,XGBoost,MySQL",192358,Data Analyst,Senior,"Python,Spark,AWS Glue",5,Forecasting,12 months,Dashboards and reports,5 Data Scientists,Cross-functional,None,2,Full-time
Retail,Large,"Python,FastAPI,SQL",123627,Data Engineer,Mid-level,"R,Python,Bioinformatics",2,Computer Vision,4 months,Object detection model,"1 Data Scientist, 1 PM",Siloed,At least 1 person with disability,1,Remote
Logistics,Medium,"Python,Scikit-learn,Azure",130191,ML Researcher,Junior,"Python,Pandas,SQL",2,Fraud Detection,12 months,Medical ML Models,2 Developers,Siloed,At least 30% female candidates,2,Full-time
EdTech,Large,"Python,PyTorch,GCP",219219,ML Engineer,Senior,"Python,Keras,NLP",5,Recommendation System,12 months,Forecast models,5 Data Scientists,Cross-functional,At least 1 woman per role,1,"Full-time, Remote"
Manufacturing,Medium,"Python,XGBoost,MySQL",158030,Data Scientist,Senior,"Python,Tableau,SQL",6,Forecasting,12 months,Medical ML Models,5 Data Scientists,Cross-functional,At least 30% female candidates,1,Remote
Logistics,Small,"Python,PyTorch,GCP",161551,AI Researcher,Mid-level,"Python,Tableau,SQL",3,Fraud Detection,12 months,Object detection model,4 Researchers,Cross-functional,At least 1 woman per role,3,Full-time
Logistics,Large,"R,Python,Azure ML",173332,Machine Learning Engineer,Senior,"Python,Scikit-learn,EDA",2,Recommendation System,6 months,ETL pipelines,"1 Data Scientist, 1 PM",Cross-functional,50% gender parity,2,"Full-time, Remote"
Retail,Small,"R,Python,Azure ML",172320,Data Analyst,Junior,"Python,Tableau,SQL",1,Fraud Detection,4 months,Demand forecasting system,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,At least 1 person with disability,2,Contract
Finance,Large,"Python,Spark,AWS Glue",117985,Data Analyst,Senior,"Python,Spark,AWS Glue",2,Forecasting,4 months,Demand forecasting system,"2 Data Scientists, 1 MLOps Engineer",Siloed,At least 1 person with disability,1,Contract
Manufacturing,Medium,"Python,FastAPI,SQL",128816,Machine Learning Engineer,Junior,"Python,Scikit-learn,NLP",3,Computer Vision,9 months,Forecast models,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,None,1,Contract
Gaming,Large,"Python,PyTorch,GCP",295471,Data Scientist,Mid-level,"Python,Tableau,SQL",3,Predictive Analytics,9 months,Research papers,1 BI Engineer,Cross-functional,Include fresh grads,1,"Full-time, Remote"
EdTech,Medium,"Python,TensorFlow,AWS",115945,ML Researcher,Mid-level,"R,Python,Bioinformatics",6,NLP,6 months,Interactive dashboards,5 Data Scientists,Cross-functional,None,3,Contract
Healthcare,Small,"Python,Keras,NLP",263661,ML Engineer,Mid-level,"Python,XGBoost,MySQL",5,Forecasting,6 months,Object detection model,2 ML Engineers,Siloed,At least 30% female candidates,3,Full-time
Manufacturing,Large,"Python,Spark,AWS Glue",212740,ML Researcher,Junior,"R,Python,Bioinformatics",3,Recommendation System,6 months,Medical ML Models,5 Data Scientists,Siloed,At least 1 woman per role,2,Remote
Retail,Small,"Python,Tableau,SQL",117598,Data Scientist,Junior,"Python,PyTorch,Deep Learning",4,NLP,12 months,Forecast models,1 Analyst,Cross-functional,Include fresh grads,3,"Full-time, Remote"
Retail,Large,"Python,PyTorch,GCP",207691,ML Engineer,Senior,"R,Python,Bioinformatics",6,NLP,5 months,Demand forecasting system,1 ML Engineer,Siloed,At least 30% female candidates,3,"Full-time, Remote"
E-commerce,Small,"Python,Tableau,SQL",158784,Data Scientist,Mid-level,"Python,OpenCV,PyTorch",3,NLP,5 months,Demand forecasting system,2 Data Engineers,Siloed,At least 1 person with disability,3,"Full-time, Remote"
Manufacturing,Small,"Python,XGBoost,MySQL",272446,Data Engineer,Junior,"Python,Pandas,SQL",3,Fraud Detection,5 months,Forecast models,"1 Data Scientist, 1 PM",Cross-functional,Ensure diverse academic backgrounds,1,"Full-time, Remote"
Gaming,Small,"Python,FastAPI,SQL",294240,Machine Learning Engineer,Junior,"Python,OpenCV,PyTorch",2,Recommendation System,6 months,Interactive dashboards,"1 Data Scientist, 1 PM",Cross-functional,None,2,Remote
Healthcare,Small,"Python,FastAPI,SQL",141264,Machine Learning Engineer,Senior,"Python,PyTorch,Deep Learning",3,Recommendation System,12 months,Medical ML Models,1 BI Engineer,Siloed,At least 1 woman per role,2,Contract
Manufacturing,Small,"Python,Scikit-learn,Azure",212699,Data Scientist,Mid-level,"Python,XGBoost,MySQL",4,Predictive Analytics,12 months,Sentiment classifier,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,At least 1 woman per role,3,Full-time
Technology,Small,"Python,Keras,NLP",155373,AI Researcher,Mid-level,"Python,Keras,NLP",3,NLP,3 months,Interactive dashboards,4 Researchers,Cross-functional,Ensure diverse academic backgrounds,2,"Full-time, Remote"
E-commerce,Large,"Python,OpenCV,PyTorch",275124,ML Engineer,Junior,"R,Python,Bioinformatics",6,NLP,6 months,Deployable chatbot,1 BI Engineer,Cross-functional,At least 1 person with disability,2,"Full-time, Remote"
Gaming,Large,"R,Python,Azure ML",285990,Computer Vision Engineer,Mid-level,"Python,PyTorch,Deep Learning",4,NLP,5 months,Dashboards and reports,2 ML Engineers,Siloed,At least 1 person with disability,3,Remote
Healthcare,Medium,"Python,PyTorch,GCP",163783,Computer Vision Engineer,Senior,"R,Python,Bioinformatics",5,NLP,6 months,Sentiment classifier,"1 Data Scientist, 1 PM",Cross-functional,None,1,Full-time
Manufacturing,Large,"Python,PyTorch,GCP",239094,Data Analyst,Mid-level,"Python,Scikit-learn,EDA",6,Fraud Detection,4 months,ETL pipelines,5 Data Scientists,Cross-functional,None,1,Contract
Finance,Large,"Python,PyTorch,GCP",146437,ML Researcher,Mid-level,"Python,XGBoost,MySQL",5,Recommendation System,12 months,Demand forecasting system,2 ML Engineers,Siloed,At least 1 person with disability,3,Remote
Finance,Medium,"Python,PyTorch,GCP",222924,ML Researcher,Senior,"Python,Keras,NLP",3,Predictive Analytics,3 months,Forecast models,2 Developers,Cross-functional,None,2,Hybrid
Technology,Small,"Python,Scikit-learn,Azure",175255,Data Scientist,Senior,"Python,PyTorch,Deep Learning",5,Predictive Analytics,9 months,Medical ML Models,1 BI Engineer,Cross-functional,At least 1 woman per role,3,Contract
Retail,Large,"Python,Tableau,SQL",231430,AI Researcher,Junior,"Python,Tableau,SQL",1,Forecasting,12 months,Research papers,2 Developers,Cross-functional,At least 30% female candidates,1,Hybrid
Logistics,Large,"Python,OpenCV,PyTorch",259856,AI Researcher,Mid-level,"Python,Scikit-learn,EDA",3,Recommendation System,6 months,Forecast models,2 ML Engineers,Cross-functional,At least 1 person with disability,3,Remote
Healthcare,Medium,"Python,PyTorch,GCP",246266,Computer Vision Engineer,Mid-level,"Python,Keras,NLP",6,Fraud Detection,9 months,Dashboards and reports,"1 Data Scientist, 1 PM",Cross-functional,Include fresh grads,3,Contract
Retail,Medium,"R,Python,Azure ML",133803,Data Scientist,Mid-level,"Python,OpenCV,PyTorch",4,Fraud Detection,5 months,Dashboards and reports,2 Developers,Cross-functional,50% gender parity,3,Hybrid
Manufacturing,Medium,"Python,TensorFlow,AWS",195052,Data Engineer,Junior,"Python,Spark,AWS Glue",3,Recommendation System,4 months,ETL pipelines,1 Analyst,Cross-functional,At least 30% female candidates,2,Full-time
Manufacturing,Large,"Python,OpenCV,PyTorch",109895,ML Engineer,Senior,"Python,Pandas,SQL",5,Recommendation System,4 months,Dashboards and reports,1 Analyst,Cross-functional,50% gender parity,2,Full-time
Gaming,Medium,"Python,Spark,AWS Glue",216444,Data Engineer,Senior,"Python,Tableau,SQL",2,Predictive Analytics,4 months,Sentiment classifier,1 BI Engineer,Cross-functional,None,3,"Full-time, Remote"
Logistics,Medium,"Python,Keras,NLP",200105,Computer Vision Engineer,Junior,"Python,Spark,AWS Glue",5,Computer Vision,5 months,Deployable chatbot,1 BI Engineer,Siloed,Include fresh grads,1,"Full-time, Remote"
Healthcare,Medium,"Python,PyTorch,GCP",142024,Data Engineer,Mid-level,"Python,OpenCV,PyTorch",2,Recommendation System,3 months,ETL pipelines,1 BI Engineer,Siloed,At least 30% female candidates,2,Full-time
Gaming,Large,"Python,Scikit-learn,Azure",161807,Computer Vision Engineer,Junior,"Python,Scikit-learn,EDA",2,NLP,5 months,Research papers,"1 Data Scientist, 1 PM",Cross-functional,Ensure diverse academic backgrounds,1,Remote
Logistics,Large,"Python,FastAPI,SQL",298925,ML Researcher,Mid-level,"Python,XGBoost,MySQL",1,NLP,3 months,Sentiment classifier,2 Data Engineers,Cross-functional,Include fresh grads,3,"Full-time, Remote"
Manufacturing,Medium,"Python,PyTorch,GCP",175524,Data Analyst,Mid-level,"Python,PyTorch,Deep Learning",1,Computer Vision,6 months,Demand forecasting system,1 BI Engineer,Cross-functional,At least 30% female candidates,2,"Full-time, Remote"
Manufacturing,Small,"Python,OpenCV,PyTorch",250745,Data Analyst,Senior,"Python,Pandas,SQL",3,Recommendation System,3 months,Demand forecasting system,"1 Data Scientist, 1 PM",Cross-functional,Include fresh grads,2,Contract
Healthcare,Large,"Python,Scikit-learn,Azure",117741,Machine Learning Engineer,Mid-level,"Python,Tableau,SQL",1,Fraud Detection,6 months,Forecast models,1 ML Engineer,Cross-functional,None,1,Remote
E-commerce,Large,"Python,PyTorch,GCP",252542,ML Engineer,Junior,"Python,Scikit-learn,NLP",3,Predictive Analytics,5 months,Dashboards and reports,1 BI Engineer,Siloed,50% gender parity,1,Contract
Healthcare,Large,"Python,Tableau,SQL",109695,Data Engineer,Junior,"Python,Scikit-learn,NLP",2,NLP,5 months,Sentiment classifier,2 Developers,Siloed,At least 1 person with disability,3,Hybrid
EdTech,Small,"Python,Spark,AWS Glue",175002,ML Engineer,Junior,"Python,Scikit-learn,EDA",3,NLP,5 months,Medical ML Models,4 Researchers,Siloed,At least 1 woman per role,2,Contract
Logistics,Large,"Python,Tableau,SQL",196297,Data Engineer,Junior,"R,Python,Bioinformatics",1,Recommendation System,9 months,Dashboards and reports,2 Developers,Siloed,None,1,Full-time
Retail,Large,"Python,Keras,NLP",180346,ML Researcher,Senior,"R,Python,Bioinformatics",2,Fraud Detection,6 months,Forecast models,1 BI Engineer,Cross-functional,50% gender parity,2,"Full-time, Remote"
Gaming,Medium,"Python,TensorFlow,AWS",119671,Computer Vision Engineer,Mid-level,"Python,OpenCV,PyTorch",6,Fraud Detection,4 months,Deployable chatbot,1 Analyst,Siloed,At least 30% female candidates,1,Full-time
E-commerce,Large,"Python,Scikit-learn,Azure",194935,Computer Vision Engineer,Senior,"Python,Scikit-learn,NLP",5,Computer Vision,12 months,Interactive dashboards,"1 Data Scientist, 1 PM",Siloed,At least 1 woman per role,1,"Full-time, Remote"
Finance,Large,"Python,Scikit-learn,Azure",204342,ML Engineer,Senior,"Python,Keras,NLP",2,NLP,3 months,Dashboards and reports,1 BI Engineer,Siloed,Include fresh grads,1,Remote
EdTech,Large,"Python,Tableau,SQL",156248,Data Engineer,Senior,"Python,Tableau,SQL",2,NLP,4 months,Research papers,1 BI Engineer,Cross-functional,50% gender parity,2,Full-time
